datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,WEST,-0.244
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,RTO,-3.208
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,RFC,-1.441
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,MIDATL,-1.166
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,OTHER,-0.018
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,SOUTH,-1.779
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,WEST,-0.246
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,RTO,-3.191
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,RFC,-1.412
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,MIDATL,-1.129
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,OTHER,-0.017
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,SOUTH,-1.731
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,WEST,-0.265
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,RTO,-3.125
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,RFC,-1.394
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,MIDATL,11.666
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,OTHER,0.164
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,SOUTH,23.034
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,WEST,0.039
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,RTO,34.739
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,RFC,11.705
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,MIDATL,120.568
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,OTHER,1.909
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,SOUTH,241.282
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,WEST,5.775
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,RTO,367.625
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,RFC,126.343
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,MIDATL,291.880
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,OTHER,3.975
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,SOUTH,599.659
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,WEST,15.401
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,RTO,906.940
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,RFC,307.281
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,MIDATL,406.506
